Customer_id,Registration_date,Customer_name,Email,Phone,Total_orders,Avg_order_value,Customer_segment
4869199,16/10/2024,Advik Bajwa,mahikakakar@example.org,+914975057976,7,1695.8,New
4940671,17/06/2024,Sarthak Doshi,fariq53@example.org,+910560446881,7,494.03,Inactive
4988545,06/04/2023,Prisha Jha,urvibuch@example.net,+915879557112,10,1251.78,Regular
5001749,06/06/2023,Dayamai Chanda,ekta28@example.com,+917870905337,3,1623.48,Inactive
5009458,17/08/2023,Yasti Choudhary,diyabal@example.com,+912821245830,7,1712.14,Inactive
5039883,19/12/2023,Gavin Garg,nitesh75@example.org,+911177506972,15,610.99,Inactive
5043760,28/11/2023,Chatresh Dara,dsinghal@example.org,+919498451461,2,1154.94,Regular
5135207,24/08/2023,Xalak Mittal,libnikonda@example.com,+911767908819,3,1438.23,Premium
5140660,18/08/2023,Tripti Loke,anika70@example.com,+916100622779,17,908.68,Inactive
5226128,09/03/2024,Wridesh Mander,samakshshere@example.org,+911346830780,10,1049.1,New
5228136,30/09/2024,Oeshi Mallick,hardikkrishna@example.org,+919869824720,19,500.17,Premium
5238055,29/01/2024,Chandani D’Alia,sahninandini@example.net,+910748552789,3,1166.67,Regular
5277675,22/10/2024,Vansha Deol,hariaarna@example.net,+919054309336,9,1312.8,Premium
5369136,11/09/2024,Yasti Wagle,pantmaanas@example.com,+916386080438,8,311.45,Regular
5386246,19/05/2023,Oeshi Dhillon,mallmaya@example.com,+919401691011,5,1741.42,Inactive
5418547,27/08/2023,Qushi Devi,swaminathanshaurya@example.org,+917170962386,20,1693.63,Regular
5540556,28/08/2023,Lakshit Balan,gunbirpillai@example.org,+914805774586,13,273.47,Regular
5607734,01/09/2024,Riya Batta,mandermitesh@example.net,+913704344104,8,603.44,Premium
5700842,11/09/2024,Waida Trivedi,garimashere@example.net,+918580013945,3,514.06,Regular
5712468,25/03/2024,Zinal Shan,farisbadal@example.net,+918793620316,3,872.57,Inactive
5716817,11/03/2024,Xalak Master,pandeyadvik@example.com,+910206300476,3,1607.05,Inactive
5751638,11/09/2024,Xiti Wagle,darshmunshi@example.net,+916525678909,14,1230.38,New
5754255,12/11/2023,Radha Rana,kritika79@example.org,+914135557233,1,1050.74,Inactive
5763963,30/03/2023,Chandran Seth,yashoda79@example.net,+914781329513,12,1118.82,Regular
5901440,16/05/2024,Faris Chopra,waida01@example.org,+917602917789,8,761.17,Premium
5961261,28/06/2023,Vrishti Memon,brijeshwable@example.net,+918367807648,17,309.79,Premium
6025470,17/08/2024,Isaac Mander,rdixit@example.com,+912510629805,12,1599.39,Premium
6061349,17/03/2024,Gautami Trivedi,iryasarin@example.org,+918375797986,17,332.03,Regular
6081270,17/08/2024,Caleb Sane,diptagour@example.net,+915268329172,15,969.51,Inactive
6150721,07/11/2023,Vaishnavi Master,ldeshpande@example.org,+917601993410,2,1705.17,New
6184558,06/06/2023,Gaurang Grewal,jpalan@example.net,+913522405840,1,1352.97,Regular
6186471,18/09/2024,Dominic Koshy,choprachanchal@example.org,+915606658365,17,1619.95,New
6187807,24/08/2023,Jairaj Tata,paivritti@example.net,+913518436146,10,1962.92,New
6245778,11/01/2024,Reva Shanker,edhitha04@example.org,+915282895141,17,1779.46,Premium
6247821,15/07/2023,Mekhala Vora,gardequincy@example.org,+917852965877,15,1832.58,Regular
6291143,05/08/2023,Banjeet Oak,abhatia@example.com,+917842043541,19,1934.37,Inactive
6319646,20/02/2024,Rehaan Suresh,ryan15@example.com,+915773547026,9,518.17,Regular
6335221,05/01/2024,Lajita Loyal,vedhikagulati@example.com,+917625044170,20,1518.83,Premium
6344345,03/10/2024,Shaurya Chhabra,samarjhaveri@example.net,+915052725276,19,1110.11,Premium
6344788,15/02/2024,Max Mandal,sanya24@example.com,+919223902556,9,1058.66,Premium
6367136,17/02/2024,Yashica Jayaraman,kmane@example.org,+910288989871,18,1662.44,Regular
6390687,23/08/2024,Shivansh Dasgupta,watika26@example.net,+911505305250,5,1340.79,Regular
6398761,10/08/2024,Kabir Kala,pallafaris@example.com,+918169750825,2,1701.15,Inactive
6459100,04/10/2024,Shivansh Mand,gaurav29@example.com,+910122930874,19,1193.57,Premium
6579892,03/10/2023,Indrajit Sodhi,kalasai@example.net,+917412279120,3,869.19,Regular
6617417,08/10/2024,Pavani Talwar,elijah70@example.net,+914108077841,20,1785.99,Inactive
6622751,10/06/2024,Nachiket Ratti,dyalaahana@example.com,+911094409067,9,598.89,Inactive
6637282,31/10/2023,Damini Lad,chandanikhatri@example.org,+919069486876,15,1495.87,Inactive
6668498,08/05/2024,Bimala Prakash,vchander@example.net,+911206965311,11,1413.4,Inactive
6724509,07/04/2023,Guneet Brahmbhatt,hkale@example.org,+911602590009,13,1966.44,New
6756256,06/07/2023,Ijaya Goel,qsarin@example.org,+919023845910,13,1902.9,Premium
6812439,17/10/2024,Vasana Mand,prakashvrinda@example.net,+919206751723,1,938.29,Premium
6853981,13/12/2023,Radhika Bahri,kamyawarrior@example.com,+911176494659,14,1301.27,Inactive
6856445,23/01/2024,Meghana Mangal,abhimanyubala@example.com,+919449932185,5,1932.51,New
6867315,31/08/2024,Yash Lata,xchhabra@example.net,+913774943522,1,1766.24,Premium
6959437,25/07/2024,Rushil Prakash,anika85@example.net,+917279839419,14,1105.84,Premium
6982488,11/01/2024,Vanya Sachdev,shivani04@example.com,+912780123232,4,1819.01,New
6992801,03/06/2023,Yochana Nagy,xganesan@example.org,+911624633416,4,1270.33,Premium
7076456,06/02/2024,Upkaar Munshi,onveer31@example.org,+914035210960,10,469.41,Regular
7228206,25/05/2023,Anmol Koshy,rdevi@example.com,+913516981949,15,843.79,New
7288562,14/06/2023,Triya Singhal,arjun79@example.org,+913901055884,19,1982.78,New
7333934,23/12/2023,Om Chand,gavin45@example.net,+910085369768,11,739.47,New
7378768,20/05/2023,Shravya Dada,mason45@example.net,+918806125809,8,698.59,New
7522036,24/01/2024,Kashvi Karan,chhabraunnati@example.net,+911380682354,2,797.92,Premium
7551173,27/10/2023,Chandran Sur,wakeetajohal@example.org,+918332946262,11,1197.58,New
7591711,30/01/2024,Triya Kakar,xshetty@example.net,+913247466748,12,1494,Regular
7687234,27/09/2024,Farhan Sheth,dhritijhaveri@example.com,+916981901972,18,892,Inactive
7728356,18/03/2024,Vasana Bumb,odikaraval@example.net,+918547056959,10,202.43,New
7728406,10/01/2024,Leela Bansal,tgulati@example.net,+911892493085,2,1970.33,Inactive
7923550,02/09/2023,Amruta Grewal,sarakibe@example.com,+912307649205,17,1813.79,New
8025622,14/03/2024,Daksh Bali,xraju@example.org,+919133188884,15,1160.55,Regular
8073518,07/01/2024,Mekhala Pandit,biswasosha@example.com,+916343097558,16,946.2,Premium
8122530,30/05/2023,Fiyaz Rai,dixitanay@example.org,+910601452212,9,1493.48,Inactive
8138417,28/06/2024,Champak Narayan,xnath@example.com,+917995550144,7,1446.82,Premium
8155924,30/03/2024,Suhani Kanda,srinivasanchanakya@example.net,+918668962091,10,1749.17,Regular
8164639,27/05/2024,Pushti Dhillon,varenya91@example.com,+910237840551,11,329.17,Premium
8205155,12/08/2023,Vrishti Din,pooja30@example.com,+911171023508,3,305.85,New
8228843,06/07/2024,Vritti Halder,vyasmitesh@example.org,+910299222582,1,1215.61,Inactive
8241122,30/09/2024,Tristan Zachariah,jmane@example.org,+919062401078,12,833.32,Inactive
8351747,13/09/2024,Darika Kaul,tankjeremiah@example.com,+912178067117,7,651.7,Regular
8361353,17/02/2024,Pahal Kibe,gabriel01@example.org,+911673420898,3,632.74,New
8375298,16/06/2023,Yahvi Vora,misrathomas@example.net,+917327618091,5,443.91,Premium
8383197,17/10/2023,Nikita Ravi,wriddhishgoda@example.net,+912425970612,16,1440.12,New
8384106,03/08/2023,Urishilla Upadhyay,enagi@example.net,+910188520020,8,1853.96,Premium
8395343,10/03/2024,Ekani Pingle,joshiwarhi@example.com,+911269447591,11,315.99,New
8395610,23/03/2024,Ranveer Subramanian,gourkeya@example.org,+919565623211,18,294.53,Inactive
8457972,04/02/2024,Yauvani Gaba,lakshitpandey@example.net,+915286677235,16,1250.35,New
8513589,08/02/2024,Ishaan Nayak,odika51@example.net,+912532228833,6,1590.11,New
8536503,19/04/2023,Ubika Om,daminikala@example.com,+911159408273,9,399.57,Regular
8628482,30/12/2023,Krishna Mani,joshioviya@example.com,+919838240780,9,1726.44,New
8632679,20/07/2023,Ayaan Bal,baladhruv@example.net,+918606048831,16,1201.21,Regular
8651281,20/10/2024,Jonathan Seshadri,chaudharyonveer@example.com,+912420030760,14,1516.13,Premium
8655667,16/07/2023,Ayaan Upadhyay,akapur@example.com,+918735041469,1,456.16,Premium
8733344,02/02/2024,Chandani Mishra,kalitafaraj@example.com,+915840260876,10,1152.02,Premium
8734819,11/11/2023,Balveer Verma,henry39@example.org,+912461408251,13,1466.9,New
8739903,07/07/2023,Yamini Bir,giriklata@example.com,+918498829243,9,1689.59,Regular
8791577,29/08/2023,Warda Kohli,madhavigandhi@example.com,+910162338039,1,1031.07,Regular
8817168,19/08/2023,Lajita Sharma,gaurang89@example.net,+919052032703,7,1382.39,Inactive
8881320,24/10/2024,Tanmayi Sem,jsahota@example.com,+917612486904,7,1268.54,Regular
8886587,27/08/2023,Aishani Sura,neelima18@example.com,+913094116037,4,951.65,Regular
8955057,12/10/2024,Zashil Goyal,brarjatin@example.com,+918029231735,3,1549.99,Regular
8967266,01/09/2024,Theodore Bhakta,bhaktayochana@example.com,+917689918192,5,1164.14,Regular
9048817,08/05/2023,Bhavika Banik,jkhurana@example.org,+916308618481,1,222.89,Inactive
9049965,03/04/2024,Ishani Kalla,wakeetachaudhary@example.org,+915656310106,3,1390.06,New
9097480,21/12/2023,Hamsini Verma,vartyekiya@example.org,+914481077678,18,307.65,Premium
9105829,14/07/2023,David Gopal,kdeol@example.org,+913163739818,11,1350.06,Regular
9107360,23/04/2024,Anvi Iyer,dmane@example.net,+914359488204,12,617.79,Inactive
9195970,21/06/2024,Riya Uppal,sunderabhimanyu@example.com,+917453089439,14,517.58,New
9246851,10/10/2024,Aarush Dixit,psandal@example.com,+910245024147,10,1574.34,New
9274874,26/09/2024,Kashvi Ganguly,fray@example.org,+919362005254,20,792.52,Regular
9278983,23/02/2024,Madhav Guha,wahab65@example.org,+915976231299,17,1418.32,Inactive
9314637,28/07/2024,Aarav Sandal,chakrikasood@example.net,+918595330748,15,1208.09,Inactive
9335625,27/07/2024,Falguni Sangha,sudiksha34@example.org,+912514405805,14,1605.95,Premium
9347990,01/04/2024,Aarush Pingle,natarajantanay@example.com,+912353233822,6,492.04,Premium
9388085,17/03/2024,Faris Swaminathan,jbath@example.com,+915414498824,11,627.21,New
9401406,18/11/2023,Lucky Babu,shivanisura@example.net,+917127291084,14,792.74,Regular
9419030,11/03/2024,Thomas Doctor,lhans@example.net,+913725120509,1,340.77,Inactive
9423628,03/09/2023,Chanakya Dutta,magarekbal@example.net,+919586659430,19,1911.7,Inactive
9450435,19/11/2023,Sai Chaudhry,ravalbina@example.com,+914134889578,1,1567.76,Regular
9551011,10/04/2023,Idika Chand,gpall@example.net,+919188642870,7,1786.78,Inactive
9573071,07/11/2023,Ranveer Mahal,phegde@example.org,+912292591574,5,958.06,New
9641623,23/09/2023,Samarth Chander,bailfalguni@example.net,+911420710310,3,1515.02,Premium
9650263,24/04/2023,Samar Vasa,gpadmanabhan@example.com,+910522525268,5,843.98,New
9702217,17/09/2024,David Doshi,madhavkibe@example.com,+911280868167,6,1209.86,New
9738801,02/03/2024,Damyanti Nadkarni,ganga81@example.com,+911334078635,19,376.73,Inactive
9796585,30/11/2023,Damini Jha,bhaktaekanta@example.org,+919205507273,20,1565.31,Inactive
9900288,09/01/2024,Jasmit Pall,waidarau@example.org,+911752527726,10,1315.84,Regular
9981089,05/10/2023,Ikbal Hari,madhav05@example.net,+918035687261,1,402.74,Premium
9987182,21/08/2024,Tristan Hegde,devansh88@example.org,+911484654463,8,635.99,Regular
10019218,28/08/2023,Elijah Brar,ikbalshukla@example.net,+914359135388,7,560.14,New
10038382,15/08/2023,Rajata Balay,sanaya20@example.net,+913662858508,3,339.73,Inactive
10048910,25/09/2023,Pratyush Sawhney,bhavyabuch@example.com,+918577787386,15,875.32,New
10088428,16/01/2024,Tara Raghavan,vwalia@example.net,+914501012348,15,806.54,Premium
10210309,08/05/2024,Deepa Dewan,sagarjagdish@example.com,+918039932264,13,515.07,Inactive
10225164,25/09/2024,Siya Parmer,watika42@example.net,+915830822437,20,491.07,Inactive
10240052,25/03/2024,Gagan Kakar,dipta34@example.org,+918187203939,1,942.49,Regular
10285414,13/07/2023,Meera Nigam,priyalanka@example.org,+910495654938,18,993.5,Inactive
10418604,11/04/2024,Xavier Agrawal,lopaagrawal@example.org,+919789289354,15,501.27,New
10508763,14/12/2023,Anamika Issac,lbahri@example.org,+912691240598,6,992.26,Premium
10524732,16/11/2023,Bhavna Ramesh,esingh@example.org,+915866776432,18,1830.92,Regular
10541231,17/07/2024,Dayita Yadav,dalajasekhon@example.net,+917085625074,14,409.51,Premium
10562528,11/07/2024,Udant Dada,odika72@example.com,+916268234175,12,887.02,Premium
10605484,17/05/2024,Rachit Chakraborty,karabhiram@example.com,+917890394043,13,652,Inactive
10608845,29/03/2024,Aadi Gole,vbalan@example.com,+918797630971,2,735.36,Premium
10642655,26/11/2023,Omaja Warrior,ujaggi@example.net,+913369567498,1,726.89,Premium
10663246,29/10/2023,Madhav Chana,abhiram84@example.org,+915954812756,12,1976.29,Regular
10683250,19/07/2024,Manthan Sundaram,ekavir81@example.org,+915063231276,14,480.47,Regular
10686446,05/07/2023,Onkar Ratti,tshanker@example.net,+914588259906,18,1566.26,New
10694081,02/10/2023,Faris Raval,neel30@example.net,+912433385418,16,769.13,Regular
10700664,10/10/2024,Rehaan Tara,ishere@example.org,+917307216422,5,1535.01,Regular
10706516,18/08/2024,Charita Srivastava,dakshesh23@example.org,+917851282763,13,1420.97,Regular
10729474,19/10/2023,Gautami Pingle,oliverraman@example.org,+914775722633,16,417.3,New
10745302,26/10/2023,Yochana Shukla,jaigrover@example.net,+916832908358,5,1530.95,Premium
10769994,07/05/2023,Tripti Tandon,aradhana79@example.org,+917981586241,10,1122.23,Regular
10789681,28/06/2023,Anvi Rajan,aarna25@example.net,+919496490604,17,1178.41,Regular
10796846,10/06/2024,Waida Sanghvi,qbera@example.com,+912912553543,2,1548.31,Regular
10797688,22/05/2023,Sudiksha Mannan,janigauri@example.net,+911173858493,7,1017.39,New
10830043,15/10/2023,Gabriel Iyer,bbala@example.com,+917749185958,9,899.6,New
10855630,03/06/2024,Anya Rajagopal,sbajwa@example.org,+916836842543,15,1447.55,Premium
10857389,29/07/2024,Nihal Mital,ipal@example.org,+913361128329,9,553.29,Inactive
10945990,25/03/2024,Frado Keer,chandrananita@example.net,+918469252255,5,1337.11,New
10951674,23/04/2023,Anmol Lad,charlesmander@example.com,+912894314853,4,1590.36,Inactive
11047835,31/01/2024,Nathaniel Reddy,rsengupta@example.net,+910814269381,6,573.38,Regular
11063505,01/11/2024,Garima Pillay,dakshesh96@example.org,+915618959508,2,1285.79,New
11071601,04/07/2023,Ojas Ahuja,sneha11@example.com,+912865080618,17,1950.54,Inactive
11082181,15/02/2024,Pratyush Munshi,evig@example.com,+916368497999,6,624.4,Premium
11143197,29/03/2023,Siya Mani,malloliver@example.net,+917820827129,13,778.44,Regular
11153360,01/04/2024,Libni Sastry,warjaschoudhury@example.com,+915612430324,20,1575.46,Inactive
11202130,28/11/2023,Zehaan Lad,vnarayan@example.org,+914186545390,20,1202.1,Premium
11228463,30/07/2023,Theodore Cherian,oliver85@example.com,+918075077633,8,1275.97,Inactive
11254582,13/08/2023,Caleb Krish,rachitsaran@example.net,+910583515404,19,1036.03,Inactive
11387110,17/08/2023,Om Sastry,aishani38@example.com,+915717298058,8,1303.37,Premium
11389698,08/06/2023,Chameli Grover,wmohan@example.org,+912844711197,14,1907.68,Premium
